filename,n_subimgs,width,height,import_time,filters_time,export_time,
images/original/Campusplan-Hausnr.gif,1.000000,9932.000000,7016.000000,0.676895,12.345120,0.869671,
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1.000000,9933.000000,7016.000000,0.761243,12.164327,1.884612,
images/original/fire.gif,33.000000,30.000000,60.000000,0.001623,0.009026,0.003313,
images/original/frame_002.gif,1.000000,585.000000,450.000000,0.003748,0.040225,0.004202,
images/original/giphy-3.gif,5.000000,1920.000000,1080.000000,0.192025,0.516844,0.902145,
images/original/Mandelbrot-large.gif,20.000000,1200.000000,1200.000000,0.373846,2.414851,2.321938,
images/original/porsche.gif,1.000000,320.000000,200.000000,0.001286,0.007254,0.001866,
images/original/Produits_sous_linux.gif,1.000000,800.000000,950.000000,0.011195,0.119402,0.010586,
images/original/TimelyHugeGnu.gif,19.000000,640.000000,360.000000,0.092432,0.356575,0.699630,
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,10.000000,480.000000,480.000000,0.036840,0.206064,0.482752,
images/original/051009.vince.gif,1.000000,1484.000000,913.000000,0.020687,0.158937,0.211142,
images/original/1.gif,10.000000,500.000000,500.000000,0.035794,0.304622,0.148112,
images/original/200_s.gif,1.000000,200.000000,200.000000,0.000853,0.005809,0.001310,
images/original/9815573.gif,10.000000,500.000000,281.000000,0.023843,0.090419,0.070941,
images/original/australian-flag-large.gif,1.000000,1200.000000,600.000000,0.008910,0.107955,0.020010,
images/original/Campusplan-Hausnr.gif,1.000000,9932.000000,7016.000000,0.818851,11.987553,0.869592,
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1.000000,9933.000000,7016.000000,0.688434,12.014882,1.800569,
images/original/fire.gif,33.000000,30.000000,60.000000,0.001434,0.004281,0.002660,
images/original/frame_002.gif,1.000000,585.000000,450.000000,0.003333,0.038979,0.004770,
images/original/giphy-3.gif,5.000000,1920.000000,1080.000000,0.202486,0.687695,1.439286,
images/original/Mandelbrot-large.gif,20.000000,1200.000000,1200.000000,0.394294,2.681131,2.201091,
images/original/porsche.gif,1.000000,320.000000,200.000000,0.000940,0.006076,0.001867,
images/original/Produits_sous_linux.gif,1.000000,800.000000,950.000000,0.010887,0.122757,0.010721,
images/original/TimelyHugeGnu.gif,19.000000,640.000000,360.000000,0.072409,0.370848,0.424257,
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,10.000000,480.000000,480.000000,0.034500,0.196820,0.450980,
images/original/051009.vince.gif,1.000000,1484.000000,913.000000,0.020720,0.156088,0.209864,
images/original/1.gif,10.000000,500.000000,500.000000,0.035326,0.299429,0.139723,
images/original/200_s.gif,1.000000,200.000000,200.000000,0.000675,0.006322,0.001446,
images/original/9815573.gif,10.000000,500.000000,281.000000,0.018784,0.082896,0.071957,
images/original/australian-flag-large.gif,1.000000,1200.000000,600.000000,0.009073,0.116667,0.026686,
images/original/Campusplan-Hausnr.gif,1.000000,9932.000000,7016.000000,0.739639,11.920558,0.889806,
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1.000000,9933.000000,7016.000000,0.724586,12.182294,1.903186,
images/original/fire.gif,33.000000,30.000000,60.000000,0.001254,0.008016,0.002984,
images/original/frame_002.gif,1.000000,585.000000,450.000000,0.003682,0.041193,0.005686,
images/original/giphy-3.gif,5.000000,1920.000000,1080.000000,0.163491,0.608873,1.534957,
images/original/Mandelbrot-large.gif,20.000000,1200.000000,1200.000000,0.319231,2.463434,2.231456,
images/original/porsche.gif,1.000000,320.000000,200.000000,0.001227,0.005628,0.001733,
images/original/Produits_sous_linux.gif,1.000000,800.000000,950.000000,0.011216,0.130649,0.010531,
images/original/TimelyHugeGnu.gif,19.000000,640.000000,360.000000,0.066109,0.370947,0.710679,
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,10.000000,480.000000,480.000000,0.035422,0.207561,0.746138,
images/original/051009.vince.gif,1.000000,1484.000000,913.000000,0.020815,0.166350,0.210750,
images/original/1.gif,10.000000,500.000000,500.000000,0.036348,0.318832,0.149829,
images/original/200_s.gif,1.000000,200.000000,200.000000,0.000772,0.006119,0.001471,
images/original/9815573.gif,10.000000,500.000000,281.000000,0.018362,0.088571,0.071529,
images/original/australian-flag-large.gif,1.000000,1200.000000,600.000000,0.008847,0.117355,0.020749,
images/original/Campusplan-Hausnr.gif,1.000000,9932.000000,7016.000000,0.837817,18.401571,0.868821,
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1.000000,9933.000000,7016.000000,0.732478,12.185680,1.813696,
images/original/fire.gif,33.000000,30.000000,60.000000,0.001639,0.006799,0.002739,
images/original/frame_002.gif,1.000000,585.000000,450.000000,0.003439,0.041877,0.005659,
images/original/giphy-3.gif,5.000000,1920.000000,1080.000000,0.146828,0.508850,0.918150,
images/original/Mandelbrot-large.gif,20.000000,1200.000000,1200.000000,0.389287,2.702735,2.336795,
images/original/porsche.gif,1.000000,320.000000,200.000000,0.001195,0.006050,0.001958,
images/original/Produits_sous_linux.gif,1.000000,800.000000,950.000000,0.011859,0.181863,0.014931,
images/original/TimelyHugeGnu.gif,19.000000,640.000000,360.000000,0.080667,0.350938,0.696578,
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,10.000000,480.000000,480.000000,0.034184,0.210153,0.753115,
images/original/051009.vince.gif,1.000000,1484.000000,913.000000,0.028485,0.232595,0.213662,
images/original/1.gif,10.000000,500.000000,500.000000,0.037266,0.288259,0.233400,
images/original/200_s.gif,1.000000,200.000000,200.000000,0.000660,0.006114,0.001443,
images/original/9815573.gif,10.000000,500.000000,281.000000,0.023788,0.094558,0.071152,
images/original/australian-flag-large.gif,1.000000,1200.000000,600.000000,0.009592,0.109910,0.020818,
