n_subimgs,width,height,import_time,filters_time,export_time,
1.000000,1484.000000,913.000000,0.030973,0.089514,0.289640,
10.000000,500.000000,500.000000,0.033417,0.173628,0.196222,
1.000000,200.000000,200.000000,0.001163,0.004568,0.001785,
10.000000,500.000000,281.000000,0.028729,0.066476,0.102007,
1.000000,1200.000000,600.000000,0.005446,0.038853,0.026100,
1.000000,9932.000000,7016.000000,0.401888,4.752792,0.799151,
1.000000,9933.000000,7016.000000,0.394769,5.361489,2.300408,
33.000000,30.000000,60.000000,0.001400,0.003524,0.002953,
1.000000,585.000000,450.000000,0.006417,0.018129,0.005527,
5.000000,1920.000000,1080.000000,0.119019,0.554347,1.325615,
20.000000,1200.000000,1200.000000,0.209693,1.232086,3.282535,
1.000000,320.000000,200.000000,0.001026,0.004521,0.001736,
1.000000,800.000000,950.000000,0.011694,0.052404,0.011395,
19.000000,640.000000,360.000000,0.072633,0.164927,0.566722,
10.000000,480.000000,480.000000,0.031558,0.134446,0.637682,
1.000000,1484.000000,913.000000,0.026480,0.091166,0.289826,
10.000000,500.000000,500.000000,0.034714,0.188514,0.197446,
1.000000,200.000000,200.000000,0.001452,0.006671,0.001918,
10.000000,500.000000,281.000000,0.031351,0.070489,0.102442,
1.000000,1200.000000,600.000000,0.013445,0.057203,0.025929,
1.000000,9932.000000,7016.000000,0.392742,4.783128,0.800898,
1.000000,9933.000000,7016.000000,0.473714,7.798196,2.335955,
33.000000,30.000000,60.000000,0.001188,0.003677,0.003061,
1.000000,585.000000,450.000000,0.007495,0.018420,0.004734,
5.000000,1920.000000,1080.000000,0.155068,0.615158,1.325859,
20.000000,1200.000000,1200.000000,0.215170,1.219229,3.277700,
1.000000,320.000000,200.000000,0.001197,0.005861,0.002237,
1.000000,800.000000,950.000000,0.011786,0.057281,0.011692,
19.000000,640.000000,360.000000,0.069055,0.164437,0.565661,
10.000000,480.000000,480.000000,0.031821,0.132448,0.636786,
1.000000,1484.000000,913.000000,0.016562,0.106913,0.290029,
10.000000,500.000000,500.000000,0.025170,0.202085,0.196105,
1.000000,200.000000,200.000000,0.001235,0.006409,0.002014,
10.000000,500.000000,281.000000,0.034354,0.064192,0.102342,
1.000000,1200.000000,600.000000,0.008239,0.042505,0.026563,
1.000000,9932.000000,7016.000000,0.400472,4.737700,0.795018,
1.000000,9933.000000,7016.000000,0.476987,5.439728,2.323041,
33.000000,30.000000,60.000000,0.001168,0.003585,0.002925,
1.000000,585.000000,450.000000,0.004045,0.011703,0.004460,
5.000000,1920.000000,1080.000000,0.106430,0.560616,1.326797,
20.000000,1200.000000,1200.000000,0.271159,1.601332,3.277779,
1.000000,320.000000,200.000000,0.001270,0.005668,0.001948,
1.000000,800.000000,950.000000,0.011396,0.052757,0.011926,
19.000000,640.000000,360.000000,0.067807,0.184052,0.564676,
10.000000,480.000000,480.000000,0.024498,0.133037,0.637422,
