n_subimgs,width,height,import_time,filters_time,export_time,
1.000000,1484.000000,913.000000,0.024761,0.090017,0.289432,
10.000000,500.000000,500.000000,0.024352,0.178716,0.195809,
1.000000,200.000000,200.000000,0.001399,0.006799,0.002928,
10.000000,500.000000,281.000000,0.030008,0.066446,0.105423,
1.000000,1200.000000,600.000000,0.011521,0.046741,0.026220,
1.000000,9932.000000,7016.000000,0.392138,5.034441,0.798906,
1.000000,9933.000000,7016.000000,0.396129,5.472095,2.319516,
33.000000,30.000000,60.000000,0.001348,0.003591,0.003379,
1.000000,585.000000,450.000000,0.006450,0.016417,0.005327,
5.000000,1920.000000,1080.000000,0.105251,0.554498,1.325530,
20.000000,1200.000000,1200.000000,0.218187,1.205870,3.284054,
1.000000,320.000000,200.000000,0.001051,0.004836,0.001993,
1.000000,800.000000,950.000000,0.010213,0.072609,0.012257,
19.000000,640.000000,360.000000,0.060961,0.162145,0.576252,
10.000000,480.000000,480.000000,0.035249,0.134178,0.637632,
1.000000,1484.000000,913.000000,0.016075,0.090719,0.288052,
10.000000,500.000000,500.000000,0.038280,0.177352,0.197214,
1.000000,200.000000,200.000000,0.000591,0.003320,0.001331,
10.000000,500.000000,281.000000,0.031687,0.066631,0.102446,
1.000000,1200.000000,600.000000,0.011875,0.057124,0.025884,
1.000000,9932.000000,7016.000000,0.388575,5.032619,0.796629,
1.000000,9933.000000,7016.000000,0.381777,5.489290,2.313401,
33.000000,30.000000,60.000000,0.001119,0.003579,0.002943,
1.000000,585.000000,450.000000,0.006273,0.018292,0.005357,
5.000000,1920.000000,1080.000000,0.117374,0.555983,1.325142,
20.000000,1200.000000,1200.000000,0.214416,1.206770,3.292034,
1.000000,320.000000,200.000000,0.001085,0.005073,0.001830,
1.000000,800.000000,950.000000,0.008253,0.071424,0.011739,
19.000000,640.000000,360.000000,0.071827,0.162389,0.565862,
10.000000,480.000000,480.000000,0.025501,0.135359,0.637739,
1.000000,1484.000000,913.000000,0.020969,0.090858,0.289143,
10.000000,500.000000,500.000000,0.024803,0.175598,0.195198,
1.000000,200.000000,200.000000,0.001570,0.006308,0.001871,
10.000000,500.000000,281.000000,0.030856,0.065883,0.101748,
1.000000,1200.000000,600.000000,0.011959,0.047562,0.026597,
1.000000,9932.000000,7016.000000,0.400742,5.015164,0.794878,
1.000000,9933.000000,7016.000000,0.382801,5.461286,2.316318,
33.000000,30.000000,60.000000,0.001519,0.004267,0.003339,
1.000000,585.000000,450.000000,0.002894,0.010399,0.004598,
5.000000,1920.000000,1080.000000,0.117584,0.555239,1.329957,
20.000000,1200.000000,1200.000000,0.207716,1.215750,3.297147,
1.000000,320.000000,200.000000,0.001878,0.008614,0.002809,
1.000000,800.000000,950.000000,0.008235,0.051609,0.011874,
19.000000,640.000000,360.000000,0.060319,0.162577,0.566269,
10.000000,480.000000,480.000000,0.034946,0.135655,0.640312,
