n_subimgs,width,height,import_time,filters_time,export_time,
1.000000,1484.000000,913.000000,0.030737,0.147505,0.288614,
10.000000,500.000000,500.000000,0.038778,0.295353,0.196273,
1.000000,200.000000,200.000000,0.000795,0.003218,0.001283,
10.000000,500.000000,281.000000,0.034205,0.097304,0.101735,
1.000000,1200.000000,600.000000,0.010468,0.088657,0.025701,
1.000000,9932.000000,7016.000000,0.397569,9.540768,0.797839,
1.000000,9933.000000,7016.000000,0.394568,9.504722,2.316985,
33.000000,30.000000,60.000000,0.002412,0.005155,0.004768,
1.000000,585.000000,450.000000,0.006512,0.020875,0.005034,
5.000000,1920.000000,1080.000000,0.119819,1.003217,1.324127,
20.000000,1200.000000,1200.000000,0.223966,1.928439,3.275895,
1.000000,320.000000,200.000000,0.001137,0.005632,0.001805,
1.000000,800.000000,950.000000,0.014536,0.091385,0.011693,
19.000000,640.000000,360.000000,0.077395,0.233129,0.565414,
10.000000,480.000000,480.000000,0.024814,0.220502,0.637200,
1.000000,1484.000000,913.000000,0.016021,0.146298,0.289036,
10.000000,500.000000,500.000000,0.037591,0.294084,0.196159,
1.000000,200.000000,200.000000,0.001396,0.006397,0.002112,
10.000000,500.000000,281.000000,0.035824,0.097407,0.101819,
1.000000,1200.000000,600.000000,0.005259,0.074844,0.025730,
1.000000,9932.000000,7016.000000,0.400494,9.540609,0.796517,
1.000000,9933.000000,7016.000000,0.379022,9.499015,2.331527,
33.000000,30.000000,60.000000,0.001455,0.002886,0.002751,
1.000000,585.000000,450.000000,0.002840,0.012606,0.004451,
5.000000,1920.000000,1080.000000,0.121706,1.004146,1.351513,
20.000000,1200.000000,1200.000000,0.203236,1.941641,3.277153,
1.000000,320.000000,200.000000,0.001968,0.009977,0.002886,
1.000000,800.000000,950.000000,0.013484,0.088331,0.011700,
19.000000,640.000000,360.000000,0.076625,0.229838,0.564780,
10.000000,480.000000,480.000000,0.044056,0.220717,0.639927,
1.000000,1484.000000,913.000000,0.016017,0.147272,0.288287,
10.000000,500.000000,500.000000,0.040563,0.295673,0.194664,
1.000000,200.000000,200.000000,0.001473,0.006747,0.002086,
10.000000,500.000000,281.000000,0.035270,0.098703,0.101747,
1.000000,1200.000000,600.000000,0.011990,0.084797,0.025825,
1.000000,9932.000000,7016.000000,0.378680,9.521926,0.809155,
1.000000,9933.000000,7016.000000,0.394520,9.496633,2.330052,
33.000000,30.000000,60.000000,0.001230,0.002709,0.002910,
1.000000,585.000000,450.000000,0.005085,0.026215,0.005849,
5.000000,1920.000000,1080.000000,0.117590,1.003611,1.326115,
20.000000,1200.000000,1200.000000,0.222484,1.936363,3.276144,
1.000000,320.000000,200.000000,0.002130,0.010163,0.002993,
1.000000,800.000000,950.000000,0.015352,0.092377,0.011753,
19.000000,640.000000,360.000000,0.090327,0.229568,0.566557,
10.000000,480.000000,480.000000,0.040396,0.218233,0.636382,
1.000000,1484.000000,913.000000,0.031639,0.147329,0.289112,
10.000000,500.000000,500.000000,0.030338,0.296599,0.195392,
1.000000,200.000000,200.000000,0.001356,0.006619,0.002054,
10.000000,500.000000,281.000000,0.035290,0.098470,0.100995,
1.000000,1200.000000,600.000000,0.011918,0.086384,0.025182,
1.000000,9932.000000,7016.000000,0.398588,9.497966,0.815297,
1.000000,9933.000000,7016.000000,0.381507,9.507740,2.324008,
33.000000,30.000000,60.000000,0.002327,0.005692,0.005297,
1.000000,585.000000,450.000000,0.004889,0.024539,0.005378,
5.000000,1920.000000,1080.000000,0.122556,1.003756,1.323808,
20.000000,1200.000000,1200.000000,0.202620,1.934163,3.285398,
1.000000,320.000000,200.000000,0.001867,0.010828,0.003202,
1.000000,800.000000,950.000000,0.015187,0.091744,0.011341,
19.000000,640.000000,360.000000,0.077868,0.232620,0.565361,
10.000000,480.000000,480.000000,0.038683,0.219860,0.637308,
1.000000,1484.000000,913.000000,0.029678,0.147846,0.288750,
10.000000,500.000000,500.000000,0.041149,0.295273,0.196024,
1.000000,200.000000,200.000000,0.001617,0.006377,0.002233,
10.000000,500.000000,281.000000,0.031244,0.096566,0.101450,
1.000000,1200.000000,600.000000,0.009754,0.086477,0.025803,
1.000000,9932.000000,7016.000000,0.403405,9.531205,0.806243,
1.000000,9933.000000,7016.000000,0.393888,9.498918,2.343254,
33.000000,30.000000,60.000000,0.002473,0.005720,0.005000,
1.000000,585.000000,450.000000,0.006547,0.021826,0.005174,
5.000000,1920.000000,1080.000000,0.122841,1.012398,1.325258,
20.000000,1200.000000,1200.000000,0.220408,1.931668,3.275896,
1.000000,320.000000,200.000000,0.001901,0.010428,0.002817,
1.000000,800.000000,950.000000,0.014386,0.087964,0.012542,
19.000000,640.000000,360.000000,0.058630,0.228729,0.569227,
10.000000,480.000000,480.000000,0.040966,0.219806,0.638624,
